,date,temperature_2m,precipitation,wind_speed_10m
83,2008-10-20 11:00:00+00:00,18.424501,0.0,3.396233
84,2008-10-20 12:00:00+00:00,19.2745,0.0,4.5536795
85,2008-10-20 13:00:00+00:00,19.674501,0.0,3.9763298
86,2008-10-20 14:00:00+00:00,19.324501,0.0,2.9024127
87,2008-10-20 15:00:00+00:00,18.824501,0.0,1.8
88,2008-10-20 16:00:00+00:00,18.0245,0.0,2.5455842
89,2008-10-20 17:00:00+00:00,16.9745,0.0,4.379589
90,2008-10-20 18:00:00+00:00,16.1245,0.0,5.4119864
91,2008-10-20 19:00:00+00:00,15.8245,0.0,5.937272
92,2008-10-20 20:00:00+00:00,16.2745,0.0,5.2416787
93,2008-10-20 21:00:00+00:00,16.1245,0.0,3.7585104
94,2008-10-20 22:00:00+00:00,15.624499,0.0,4.3498964
95,2008-10-20 23:00:00+00:00,15.124499,0.0,4.2136917
96,2008-10-21 00:00:00+00:00,14.6744995,0.0,3.8773184
97,2008-10-21 01:00:00+00:00,14.124499,0.0,2.5959969
98,2008-10-21 02:00:00+00:00,13.2245,0.0,2.4149535
99,2008-10-21 03:00:00+00:00,12.4244995,0.0,1.609969
100,2008-10-21 04:00:00+00:00,12.0245,0.0,2.9024127
101,2008-10-21 05:00:00+00:00,12.0245,0.0,3.396233
102,2008-10-21 06:00:00+00:00,11.8245,0.0,3.7064266
103,2008-10-21 07:00:00+00:00,13.9244995,0.0,5.2416787
104,2008-10-21 08:00:00+00:00,15.1744995,0.0,5.937272
105,2008-10-21 09:00:00+00:00,16.2745,0.0,6.924738
106,2008-10-21 10:00:00+00:00,17.424501,0.0,5.991594
107,2008-10-21 11:00:00+00:00,18.2745,0.0,7.42159
108,2008-10-21 12:00:00+00:00,18.924501,0.0,8.891343
109,2008-10-21 13:00:00+00:00,19.1245,0.0,8.0899935
110,2008-10-21 14:00:00+00:00,18.824501,0.0,7.729527
111,2008-10-21 15:00:00+00:00,17.8745,0.1,3.9763298
112,2008-10-21 16:00:00+00:00,17.324501,0.0,3.319036
113,2008-10-21 17:00:00+00:00,16.7745,0.0,3.5455887
114,2008-10-21 18:00:00+00:00,16.4245,0.0,3.0758414
115,2008-10-21 19:00:00+00:00,16.1745,0.0,2.3051248
116,2008-10-21 20:00:00+00:00,15.7745,0.0,1.2979984
117,2008-10-21 21:00:00+00:00,15.3245,0.0,0.8049845
118,2008-10-21 22:00:00+00:00,14.4745,0.0,0.5091169
119,2008-10-21 23:00:00+00:00,13.4244995,0.0,0.5091169
120,2008-10-22 00:00:00+00:00,12.624499,0.0,2.16
121,2008-10-22 01:00:00+00:00,12.0745,0.0,3.319036
122,2008-10-22 02:00:00+00:00,11.4745,0.0,2.968636
123,2008-10-22 03:00:00+00:00,11.5745,0.0,3.671294
124,2008-10-22 04:00:00+00:00,11.7745,0.0,4.2136917
125,2008-10-22 05:00:00+00:00,11.874499,0.0,3.8773184
126,2008-10-22 06:00:00+00:00,11.9244995,0.0,3.671294
127,2008-10-22 07:00:00+00:00,12.624499,0.0,4.6938252
128,2008-10-22 08:00:00+00:00,14.0245,0.0,4.3349743
129,2008-10-22 09:00:00+00:00,16.2745,0.0,3.8773184
130,2008-10-22 10:00:00+00:00,18.424501,0.0,2.7416782
131,2008-10-22 11:00:00+00:00,19.924501,0.0,3.096837
132,2008-10-22 12:00:00+00:00,20.824501,0.0,3.0547013
133,2008-10-22 13:00:00+00:00,21.2745,0.0,3.6
134,2008-10-22 14:00:00+00:00,21.324501,0.0,4.1046314
135,2008-10-22 15:00:00+00:00,20.7245,0.0,2.3051248
136,2008-10-22 16:00:00+00:00,19.2745,0.0,0.8049845
137,2008-10-22 17:00:00+00:00,18.8745,0.0,1.8
138,2008-10-22 18:00:00+00:00,17.3745,0.0,1.609969
139,2008-10-22 19:00:00+00:00,18.4745,0.0,1.609969
140,2008-10-22 20:00:00+00:00,17.1245,0.0,2.9024127
141,2008-10-22 21:00:00+00:00,14.9244995,0.0,2.9024127
142,2008-10-22 22:00:00+00:00,14.0245,0.0,5.154415
143,2008-10-22 23:00:00+00:00,13.5245,0.0,4.2136917
144,2008-10-23 00:00:00+00:00,13.2745,0.0,5.3999996
145,2008-10-23 01:00:00+00:00,13.124499,0.0,5.904439
146,2008-10-23 02:00:00+00:00,13.124499,0.0,5.8603754
147,2008-10-23 03:00:00+00:00,13.4244995,0.0,6.3690495
148,2008-10-23 04:00:00+00:00,13.7245,0.0,5.495161
149,2008-10-23 05:00:00+00:00,13.9244995,0.2,5.1165614
150,2008-10-23 06:00:00+00:00,13.9244995,0.0,5.1165614
151,2008-10-23 07:00:00+00:00,14.8245,0.0,6.989936
152,2008-10-23 08:00:00+00:00,16.1245,0.0,10.086427
153,2008-10-23 09:00:00+00:00,17.074501,0.0,10.296251
154,2008-10-23 10:00:00+00:00,18.0245,0.0,10.948973
155,2008-10-23 11:00:00+00:00,18.824501,0.0,11.246759
156,2008-10-23 12:00:00+00:00,19.674501,0.0,11.200571
157,2008-10-23 13:00:00+00:00,20.074501,0.0,12.768586
158,2008-10-23 14:00:00+00:00,19.824501,0.0,14.277983
159,2008-10-23 15:00:00+00:00,19.424501,0.0,12.819235
160,2008-10-23 16:00:00+00:00,18.4745,0.0,10.233123
161,2008-10-23 17:00:00+00:00,17.324501,0.0,8.714677
162,2008-10-23 18:00:00+00:00,16.2245,0.0,6.638072
163,2008-10-23 19:00:00+00:00,15.4745,0.0,5.8603754
164,2008-10-23 20:00:00+00:00,14.374499,0.0,6.4096174
165,2008-10-23 21:00:00+00:00,13.374499,0.0,6.696387
166,2008-10-23 22:00:00+00:00,12.9745,0.0,6.763786
167,2008-10-23 23:00:00+00:00,12.7245,0.0,5.8603754
168,2008-10-24 00:00:00+00:00,12.6744995,0.0,6.4096174
169,2008-10-24 01:00:00+00:00,12.624499,0.0,5.6233797
170,2008-10-24 02:00:00+00:00,12.5745,0.0,5.3517847
171,2008-10-24 03:00:00+00:00,12.374499,0.0,5.0911684
172,2008-10-24 04:00:00+00:00,12.2245,0.0,5.6002855
173,2008-10-24 05:00:00+00:00,12.4244995,0.0,5.1165614
174,2008-10-24 06:00:00+00:00,12.5245,0.0,6.193674
175,2008-10-24 07:00:00+00:00,14.5245,0.0,7.4128532
176,2008-10-24 08:00:00+00:00,15.6744995,0.0,8.766573
177,2008-10-24 09:00:00+00:00,16.7745,0.0,7.8625183
178,2008-10-24 10:00:00+00:00,17.924501,0.0,6.9527545
